"thrush","cover","elevation","loc.x","loc.y"
0,4.9,175,-204425.74997,338333.15503
0,2.8,185,-199253.30431,338194.38601
0,4,183,-188782.811,342547.04282
0,15.3,205,-194077.38958,338056.0913
0,0,238,-188903.41034,337922.11262
0,7.4,175,-183493.68908,347038.78654
0,3,219,-183611.09849,342414.09339
0,8,272,-183728.41942,337789.08485
0,14.1,181,-146930.36548,364701.18659
0,7.4,174,-178202.89866,351545.00619
0,10,174,-172934.98681,356038.4442
0,11.8,174,-167772.83325,355916.07878
0,13.8,180,-173046.73204,351414.11096
0,2.1,207,-167882.96331,351291.17734
0,0.8,182,-157347.56163,360308.70935
0,0.6,187,-162610.65785,355797.97055
0,6.9,232,-157448.49088,355683.67068
0,14.8,259,-162714.77988,351173.14046
1,14.2,348,-157549.42127,351058.58781
0,14.5,213,-152188.61459,360197.65294
0,19.8,271,-147029.56743,360090.32798
0,7.2,306,-152286.24962,355572.62185
0,6.6,414,-147123.93296,355465.28525
0,5.2,430,-152383.90148,350947.51525
0,6.3,434,-147218.30734,350840.14464
0,10.1,195,-178325.25755,346909.26182
0,12.8,258,-178439.29297,342284.23738
0,11,309,-178553.33388,337659.19162
0,13.7,231,-173156.63423,346783.13174
0,21.7,295,-167987.83756,346660.92921
0,9.3,313,-173267.40008,342158.07815
0,4.9,374,-168095.41105,342035.62322
0,5.2,366,-173378.16358,337533.00187
0,8.5,406,-168202.96789,337410.7279
0,9.1,376,-162819.27304,346542.75932
0,9.6,414,-157650.46858,346428.18167
0,12,411,-162923.40859,341917.41852
0,10.8,413,-157751.39608,341803.02875
0,13.5,401,-163027.52776,337292.47304
0,12.3,435,-157852.32938,337177.83777
0,12.9,428,-152481.66772,346317.08833
0,20.8,447,-147312.78806,346209.69701
0,12.5,424,-152579.32074,341691.9129
0,10.9,496,-147407.16177,341584.49644
0,11.2,434,-152676.97204,337066.69617
0,11,443,-147501.53874,336959.26768
0,13.3,180,-209736.5567,333862.43566
0,7.4,213,-209870.49919,329237.82543
0,27.1,265,-210004.79194,324613.40852
0,9,196,-204558.63743,333714.78468
0,19.7,218,-199380.62008,333569.97321
0,13.5,232,-204689.49689,329089.92396
0,22.1,249,-199508.01753,328945.39668
0,15.2,279,-204819.92016,324465.39821
0,32.3,270,-199635.41894,324320.78864
0,13.3,240,-194202.49691,333428.86157
0,26.7,264,-189024.16893,333291.71945
0,11.4,268,-194326.59274,328804.19843
0,25.2,329,-189145.16273,328666.98173
0,13.3,296,-194450.69159,324179.50815
0,30,358,-189265.74563,324042.20568
0,11.2,313,-183846.06185,333158.61173
0,26.8,378,-183963.34023,328533.78796
0,16.8,404,-184081.03305,323908.93933
0,35.9,290,-210138.80931,319984.04215
0,14.5,306,-210272.69086,315359.19011
